"Player Name","Team Name","Jersey Number",Position,"Is Player","Contact 1 Name","Contact 1 Relationship","Contact 1 Email","Contact 1 Phone","Contact 2 Name","Contact 2 Relationship","Contact 2 Email","Contact 2 Phone","Contact 3 Name","Contact 3 Relationship","Contact 3 Email","Contact 3 Phone"
"Henry Johnson",France,,,,Yes,"Henry Johnson",Player,henry.johnson@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Lopez",France,,,,Yes,"Henry Lopez",Player,henry.lopez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henry Miller","Australia 2",,,Yes,"Henry Miller",Player,henry.miller@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunter Wilson","New Zealand",,,Yes,"Hunter Wilson",Player,hunter.wilson@yahoo.com,,"Bailey Villarreal",Other,perrykeith@taylor.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishan Yadav",India,,"161cm 54kg",Yes,"Ishan Yadav",Player,benjamin.williams@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iván Cabrera",Argentina,,,,Yes,"Iván Cabrera",Player,liam.smith@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Dawson",Australia,,"185cm 75kg",Yes,"Jack Dawson",Player,,,"Jack Dawson",Other,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jack Jones","New Zealand",,,Yes,"Jack Jones",Player,olivia.smith@yahoo.com,,"Tyler Wallace Jr.",Other,clayjason@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Brown",England,,,,Yes,"James Brown",Player,james.brown@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Johnson",England,,,,Yes,"James Johnson",Player,james.johnson@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Williams","Australia 2",,,Yes,"James Williams",Player,james.williams@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julián Herrera",Argentina,,,,Yes,"Julián Herrera",Player,lucas.johnson@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Vickerman",Australia,,"187cm 85kg",Yes,"Julian Vickerman",Player,,,julianvickerman182@gmail.com,Other,julianvickerman182@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Julian Vickerman",Australia,,Coach,No,"Julian Vickerman",Player,julianvickerman182@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kagiso Nkosi","South Africa",,"189cm 89 kg",Yes,"Kagiso Nkosi",Player,kagiso.nkosi@yahoo.com,,"Melissa Acosta",Other,karenroberts@hamilton.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kai Ivy Jr",Australia,,"177cm 68kg",Yes,"Kai Ivy Jr",Player,,,"Kai Ivy Jr",Other,johnnyabbott1@outloo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khoder Brown","New Zealand",,,Yes,"Khoder Brown",Player,isla.brown@yahoo.com,,"Willie Mathis",Other,parksjudy@foster.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latoya Thompson",Jamaica,,"175cm 62kg",Yes,"Latoya Thompson",Player,latoya.thompson@hotmail.com,,"Melanie Patrick",Other,caseysean@gibson.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latoya Williams",Jamaica,,"170cm 57kg",Yes,"Latoya Williams",Player,latoya.williams@gmail.com,,"Amanda Scott",Other,jerryfrank@chan.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lautaro Sánchez",Argentina,,,,Yes,"Lautaro Sánchez",Player,olivia.taylor@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leah Harcourt",Australia,,"Team Doctor",No,"Leah Harcourt",Player,julianvickerman182@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Brown",France,,,,Yes,"Liam Brown",Player,liam.brown@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Gonzalez",England,,,,Yes,"Liam Gonzalez",Player,liam.gonzalez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Gonzalez",France,,,,Yes,"Liam Gonzalez",Player,liam.gonzalez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Miller",France,,,,Yes,"Liam Miller",Player,liam.miller@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Smith",England,,,,Yes,"Liam Smith",Player,liam.smith@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liam Taylor","New Zealand",,,Yes,"Liam Taylor",Player,liam.taylor@gmail.com,,"Jane Garza",Other,michael76@woods.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lily Brittain",Australia,,"Team Dietian and Physiotherapist",No,"Lily Brittain",Player,lilybrittain@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lincoln Haddad",Australia,,"163cm 53kg",Yes,"Lincoln Haddad",Player,,,"Lincoln Haddad",Other,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logan Johnson",France,,,,Yes,"Logan Johnson",Player,logan.johnson@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logan Miller","Australia 2",,,Yes,"Logan Miller",Player,logan.miller@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logan Smith",India,,"179cm 79kg",Yes,"Logan Smith",Player,logan.smith@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Jones","Australia 2",,,Yes,"Lucas Jones",Player,lucas.jones@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas Williams",England,,,,Yes,"Lucas Williams",Player,lucas.williams@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Rogers",India,,"185cm 80kg",Yes,"Mark Rogers",Player,elijah.davis@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason Garcia",England,,,,Yes,"Mason Garcia",Player,mason.garcia@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason Jones",France,,,,Yes,"Mason Jones",Player,mason.jones@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mason Smith","Australia 2",,,Yes,"Mason Smith",Player,mason.smith@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matías Romero",Argentina,,,,Yes,"Matías Romero",Player,mason.clark@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Makena","South Africa",,"182cm 78kg",Yes,"Michael Makena",Player,kagiso.khumalo@yahoo.com,,"Thomas Wallace",Other,yroman@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mitch Fuller",Australia,,"Head Of Strength And Conditioning/ Team Manager",No,"Mitch Fuller",Player,mitchfuller@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mohinder Singh",Australia,,"191cm 87kg",Yes,"Mohinder Singh",Player,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Garcia",India,,"149cm 50kg",Yes,"Noah Garcia",Player,noah.garcia@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noah Gonzalez","Australia 2",,,Yes,"Noah Gonzalez",Player,noah.gonzalez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peter Harcourt",Australia,,"Team Doctor",No,"Peter Harcourt",Player,peterharcourt@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rav Krishna",India,,"156cm 49kg",Yes,"Rav Krishna",Player,benjamin.johnson@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ren Suzuki",Japan,,,,Yes,"Ren Suzuki",Player,ren.suzuki@hotmail.com,,"Jacob Johnson",Other,jacobrodriguez@zimmerman-scott.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Ponzi",Australia,,"193cm 90kg",Yes,"Richard Ponzi",Player,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santiago Gómez",Argentina,,,,Yes,"Santiago Gómez",Player,isla.smith@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Mitchell",Australia,,"GM Of Downball Operations",No,"Simon Mitchell",Player,simonmitch@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Wigg",Australia,,Physio,No,"Simon Wigg",Player,simonwigg@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Souta Watanabe",Japan,,,,Yes,"Souta Watanabe",Player,souta.watanabe@gmail.com,,"Jennifer Park",Other,aevans@house.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steven Morehu","South Africa",,"188CM 85KG",Yes,"Steven Morehu",Player,,,"Stevie Morehu",Other,steviemorehu@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thabo Khumalo","South Africa",,"178cm 70 kg",Yes,"Thabo Khumalo",Player,thabo.khumalo@yahoo.com,,"Javier Prince",Other,sethfletcher@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thabo Ngcobo","South Africa",,"165cm 60kg",Yes,"Thabo Ngcobo",Player,thabo.ngcobo@hotmail.com,,"Carrie Bishop",Other,kelsey56@brown-terry.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tomás Alvarez",Argentina,,,,Yes,"Tomás Alvarez",Player,noah.taylor@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyrone Smith",Jamaica,,"192cm 92kg",Yes,"Tyrone Smith",Player,tyrone.smith@hotmail.com,,"Gregory Smith",Other,chad23@harris.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ved Suthar",Australia,,"173cm 59kg",Yes,"Ved Suthar",Player,,,jj@gmail.com,Other,jkj@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yui Suzuki",Japan,,,,Yes,"Yui Suzuki",Player,yui.suzuki@hotmail.com,,"James Thomas",Other,lesliesanchez@carter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
